time,chassis_joint.phi,chassis_joint.w,left_joint.phi,left_joint.w,Right_joint1.phi
2.04,-3.0006207296309304,-2.753061009598265,0.0,0.0,0.0
2.05,-3.026814494963062,-2.4855922801689907,0.0,0.0,0.0
2.06,-3.0503296723828677,-2.2173260173384732,0.0,0.0,0.0
2.07,-3.0711600927771685,-1.9485249636960094,0.0,0.0,0.0
2.08,-3.0893005477481315,-1.6793413649630184,0.0,0.0,0.0
2.09,-3.1047476231585462,-1.4099033791538986,0.0,0.0,0.0
2.1,-3.117500513814587,-1.1403289090313078,0.0,0.0,0.0
2.11,-3.127557001259875,-0.8706717358532887,0.0,0.0,0.0
2.12,-3.134916394183919,-0.6009730765892994,0.0,0.0,0.0
2.13,-3.1395796724582867,-0.33126419605340424,0.0,0.0,0.0
2.14,-3.141545366535179,-0.061549265723259576,0.0,0.0,0.0
2.15,-3.140813751113646,0.20816843694453457,0.0,0.0,0.0
2.16,-3.137385741704092,0.4778853330187564,0.0,0.0,0.0
2.17,-3.1312598897127413,0.7475973941411833,0.0,0.0,0.0
2.18,-3.12243717900383,1.0172880091596106,0.0,0.0,0.0
2.19,-3.110918330668732,1.2869244309717138,0.0,0.0,0.0
2.2,-3.0967027119704076,1.5564524044244408,0.0,0.0,0.0
2.21,-3.0797933047567243,1.825789456150865,0.0,0.0,0.0
2.22,-3.0601921708296995,2.0948192948327455,0.0,0.0,0.0
2.23,-3.037901818515763,2.363385939052452,0.0,0.0,0.0
2.24,-3.012932507399587,2.6312937664842857,0.0,0.0,0.0
2.25,-2.985291926424315,2.8982926261173927,0.0,0.0,0.0
2.2600000000000002,-2.9549918862766904,3.1640778555766476,0.0,0.0,0.0
2.27,-2.92204735920723,3.428283471188179,0.0,0.0,0.0
2.2800000000000002,-2.886476797509854,3.6904764988043572,0.0,0.0,0.0
2.29,-2.848302505117024,3.9501665546490043,0.0,0.0,0.0
2.3000000000000003,-2.807551023077551,4.206831260239835,0.0,0.0,0.0
2.31,-2.764253394089366,4.459803712056931,0.0,0.0,0.0
2.32,-2.7184456023946435,4.708359962731568,0.0,0.0,0.0
2.33,-2.670168910246652,4.951688535954532,0.0,0.0,0.0
2.34,-2.619474291926876,5.188919106689126,0.0,0.0,0.0
2.35,-2.566455542705562,5.419387409592355,0.0,0.0,0.0
2.36,-2.511166749381407,5.641947501897346,0.0,0.0,0.0
2.37,-2.453689588119434,5.855518324603671,0.0,0.0,0.0
2.38,-2.3941160650373026,6.0589336691629825,0.0,0.0,0.0
2.39,-2.332553750143404,6.251266757650539,0.0,0.0,0.0
2.4,-2.2691237491375174,6.431637159648716,0.0,0.0,0.0
2.41,-2.2039535006590945,6.598648854123854,0.0,0.0,0.0
2.42,-2.137187122048968,6.751079193141874,0.0,0.0,0.0
2.43,-2.0689720944735113,6.887941749222097,0.0,0.0,0.0
2.44,-1.9994474007059488,7.008800543229003,0.0,0.0,0.0
2.45,-1.9288006132583877,7.1123749489650745,0.0,0.0,0.0
2.46,-1.8572185062390931,7.197784212722796,0.0,0.0,0.0
2.47,-1.784875052989554,7.2644801624246425,0.0,0.0,0.0
2.48,-1.7119512097006806,7.312063544644048,0.0,0.0,0.0
2.49,-1.6386614338763164,7.340032847089677,0.0,0.0,0.0
2.5,-1.56521727854001,7.348163915199024,0.0,0.0,0.0
2.5100000000000002,-1.4917839635694565,7.336377483396479,0.0,0.0,0.0
2.52,-1.4185649345945757,7.304814290677723,0.0,0.0,0.0
2.5300000000000002,-1.3457651662805221,7.253827181694945,0.0,0.0,0.0
2.54,-1.273579866484556,7.183954809935896,0.0,0.0,0.0
2.5500000000000003,-1.2021803745916204,7.095297453869984,0.0,0.0,0.0
2.56,-1.1317526569272767,6.988841975262268,0.0,0.0,0.0
2.57,-1.0624671194224673,6.865522840069603,0.0,0.0,0.0
2.58,-0.9944895225184166,6.726247573184773,0.0,0.0,0.0
2.59,-0.9279878799380803,6.571565378762907,0.0,0.0,0.0
2.6,-0.8631026377035965,6.40280242609108,0.0,0.0,0.0
2.61,-0.799968847054122,6.2211203878264065,0.0,0.0,0.0
2.62,-0.7387198738300168,6.02732999187868,0.0,0.0,0.0
2.63,-0.6794671010034526,5.822615613489177,0.0,0.0,0.0
2.64,-0.6223108491402034,5.608062466376781,0.0,0.0,0.0
2.65,-0.5673481045436898,5.3847169142503715,0.0,0.0,0.0
2.66,-0.5146661769734151,5.153581584908772,0.0,0.0,0.0
2.67,-0.4643292044334981,4.9155977890260845,0.0,0.0,0.0
2.68,-0.4163963666746903,4.671651919643468,0.0,0.0,0.0
2.69,-0.37093815970869953,4.422672721071086,0.0,0.0,0.0
2.7,-0.32799030741509516,4.169367612021829,0.0,0.0,0.0
2.71,-0.28758729086417245,3.9123906284549164,0.0,0.0,0.0
2.72,-0.2497700341440831,3.652470830787919,0.0,0.0,0.0
2.73,-0.21456423112189946,3.3901417330882726,0.0,0.0,0.0
2.74,-0.18198870880320372,3.125825185614433,0.0,0.0,0.0
2.75,-0.1520610242302105,2.8599512901202817,0.0,0.0,0.0
2.7600000000000002,-0.12479698736789077,2.592966782249402,0.0,0.0,0.0
2.77,-0.1002063370306004,2.3250818175010908,0.0,0.0,0.0
2.7800000000000002,-0.07829768239860976,2.0564963365717497,0.0,0.0,0.0
2.79,-0.059074373158243314,1.7875231908723963,0.0,0.0,0.0
2.8000000000000003,-0.0425421268777033,1.5182431417003541,0.0,0.0,0.0
2.81,-0.028704872969163454,1.2487464404793138,0.0,0.0,0.0
2.82,-0.0175623982067734,0.9791383506451975,0.0,0.0,0.0
2.83,-0.009115092985534297,0.7094824839594128,0.0,0.0,0.0
2.84,-0.003365403931166992,0.4397918469984762,0.0,0.0,0.0
2.85,-0.0003138267186215176,0.17008135603080748,0.0,0.0,0.0
2.86,4.276549618288768e-05,-0.09963015595389536,0.0,0.0,0.0
2.87,-0.002298152481354296,-0.3693461784345062,0.0,0.0,0.0
2.88,-0.007338177900705637,-0.6390623639072576,0.0,0.0,0.0
2.89,-0.01507288749542068,-0.9087647802286116,0.0,0.0,0.0
2.9,-0.025504169076155794,-1.1784284050265492,0.0,0.0,0.0
2.91,-0.03863305754021915,-1.4480090077286163,0.0,0.0,0.0
2.92,-0.05445703507295023,-1.71743537574701,0.0,0.0,0.0
2.93,-0.07297211730571727,-1.986604832484122,0.0,0.0,0.0
2.94,-0.09417787678300696,-2.255380671682431,0.0,0.0,0.0
2.95,-0.11807063944552545,-2.523582486489925,0.0,0.0,0.0
2.96,-0.14463867484955809,-2.7909793236272735,0.0,0.0,0.0
2.97,-0.17387587553268866,-3.0572884537484177,0.0,0.0,0.0
2.98,-0.20577150573034836,-3.3221662434081294,0.0,0.0,0.0
2.99,-0.24030577392193056,-3.5852169171773345,0.0,0.0,0.0
3.0,-0.27745875739571096,-3.8459677930007268,0.0,0.0,0.0
3.0100000000000002,-0.317206809189274,-4.103870402635163,0.0,0.0,0.0
3.02,-0.3595182688189083,-4.358318832594202,0.0,0.0,0.0
3.0300000000000002,-0.4043527336049727,-4.608652016474977,0.0,0.0,0.0
3.04,-0.45166742088466577,-4.8540903706358645,0.0,0.0,0.0
3.0500000000000003,-0.5014103755455968,-5.093788841528125,0.0,0.0,0.0
3.06,-0.5535177727337179,-5.326938260527793,0.0,0.0,0.0
3.0700000000000003,-0.6079202618106354,-5.552538921446006,0.0,0.0,0.0
3.08,-0.6645374661015515,-5.7695539316242925,0.0,0.0,0.0
3.09,-0.7232794315854384,-5.977001352628218,0.0,0.0,0.0
